x1,y1,x2,y2
0.998920,-0.046473,1.997887,-0.001049
0.998904,-0.046801,1.997858,-0.001064
0.998889,-0.047130,1.997828,-0.001079
0.998873,-0.047459,1.997798,-0.001094
0.998858,-0.047788,1.997767,-0.001109
0.998842,-0.048117,1.997737,-0.001125
0.998826,-0.048446,1.997706,-0.001140
0.998810,-0.048775,1.997675,-0.001156
0.998794,-0.049104,1.997644,-0.001171
0.998777,-0.049434,1.997613,-0.001187
0.998761,-0.049763,1.997581,-0.001203
0.998745,-0.050092,1.997550,-0.001219
0.998728,-0.050422,1.997518,-0.001235
0.998711,-0.050751,1.997485,-0.001251
0.998695,-0.051081,1.997453,-0.001267
0.998678,-0.051411,1.997420,-0.001284
0.998661,-0.051740,1.997388,-0.001300
0.998643,-0.052070,1.997355,-0.001317
0.998626,-0.052400,1.997321,-0.001333
0.998609,-0.052730,1.997288,-0.001350
0.998591,-0.053060,1.997254,-0.001367
0.998574,-0.053390,1.997220,-0.001384
0.998556,-0.053721,1.997186,-0.001401
0.998538,-0.054051,1.997152,-0.001419
0.998520,-0.054381,1.997118,-0.001436
0.998502,-0.054712,1.997083,-0.001453
0.998484,-0.055042,1.997048,-0.001471
0.998466,-0.055373,1.997013,-0.001489
0.998447,-0.055703,1.996978,-0.001506
0.998429,-0.056034,1.996942,-0.001524
0.998410,-0.056365,1.996906,-0.001542
0.998392,-0.056696,1.996870,-0.001560
0.998373,-0.057026,1.996834,-0.001579
0.998354,-0.057357,1.996798,-0.001597
0.998335,-0.057688,1.996761,-0.001615
0.998315,-0.058020,1.996725,-0.001634
0.998296,-0.058351,1.996688,-0.001653
0.998277,-0.058682,1.996650,-0.001671
0.998257,-0.059013,1.996613,-0.001690
0.998238,-0.059345,1.996575,-0.001709
0.998218,-0.059676,1.996537,-0.001728
0.998198,-0.060008,1.996499,-0.001748
0.998178,-0.060339,1.996461,-0.001767
0.998158,-0.060671,1.996423,-0.001786
0.998138,-0.061003,1.996384,-0.001806
0.998117,-0.061334,1.996345,-0.001826
0.998097,-0.061666,1.996306,-0.001845
0.998076,-0.061998,1.996267,-0.001865
0.998056,-0.062330,1.996227,-0.001885
0.998035,-0.062662,1.996187,-0.001905
0.998014,-0.062994,1.996147,-0.001926
0.997993,-0.063326,1.996107,-0.001946
0.997972,-0.063659,1.996067,-0.001966
0.997950,-0.063991,1.996026,-0.001987
0.997929,-0.064323,1.995986,-0.002007
0.997908,-0.064656,1.995945,-0.002028
0.997886,-0.064988,1.995903,-0.002049
0.997864,-0.065321,1.995862,-0.002070
0.997842,-0.065653,1.995820,-0.002091
0.997821,-0.065986,1.995779,-0.002112
0.997798,-0.066319,1.995737,-0.002134
0.997776,-0.066652,1.995694,-0.002155
0.997754,-0.066984,1.995652,-0.002177
0.997732,-0.067317,1.995609,-0.002198
0.997709,-0.067650,1.995566,-0.002220
0.997686,-0.067983,1.995523,-0.002242
0.997664,-0.068317,1.995480,-0.002264
0.997641,-0.068650,1.995436,-0.002286
0.997618,-0.068983,1.995393,-0.002308
0.997595,-0.069316,1.995349,-0.002331
0.997572,-0.069650,1.995305,-0.002353
0.997548,-0.069983,1.995260,-0.002376
0.997525,-0.070317,1.995216,-0.002398
0.997501,-0.070650,1.995171,-0.002421
0.997477,-0.070984,1.995126,-0.002444
0.997454,-0.071318,1.995081,-0.002467
0.997430,-0.071651,1.995035,-0.002490
0.997406,-0.071985,1.994990,-0.002513
0.997382,-0.072319,1.994944,-0.002537
0.997357,-0.072653,1.994898,-0.002560
0.997333,-0.072987,1.994852,-0.002584
0.997308,-0.073321,1.994805,-0.002607
0.997284,-0.073655,1.994758,-0.002631
0.997259,-0.073989,1.994712,-0.002655
0.997234,-0.074324,1.994664,-0.002679
0.997209,-0.074658,1.994617,-0.002703
0.997184,-0.074992,1.994570,-0.002728
0.997159,-0.075327,1.994522,-0.002752
0.997134,-0.075661,1.994474,-0.002776
0.997108,-0.075996,1.994426,-0.002801
0.997083,-0.076330,1.994377,-0.002826
0.997057,-0.076665,1.994329,-0.002851
0.997031,-0.077000,1.994280,-0.002875
0.997005,-0.077334,1.994231,-0.002901
0.996979,-0.077669,1.994182,-0.002926
0.996953,-0.078004,1.994133,-0.002951
0.996927,-0.078339,1.994083,-0.002976
0.996900,-0.078674,1.994033,-0.003002
0.996874,-0.079009,1.993983,-0.003027
0.996847,-0.079344,1.993933,-0.003053
0.996821,-0.079679,1.993882,-0.003079
0.996794,-0.080015,1.993832,-0.003105
0.996767,-0.080350,1.993781,-0.003131
0.996740,-0.080685,1.993730,-0.003157
0.996712,-0.081021,1.993679,-0.003184
0.996685,-0.081356,1.993627,-0.003210
0.996658,-0.081691,1.993575,-0.003236
0.996630,-0.082027,1.993523,-0.003263
0.996602,-0.082363,1.993471,-0.003290
0.996575,-0.082698,1.993419,-0.003317
0.996547,-0.083034,1.993366,-0.003344
0.996519,-0.083370,1.993314,-0.003371
0.996491,-0.083706,1.993261,-0.003398
0.996462,-0.084042,1.993207,-0.003425
0.996434,-0.084378,1.993154,-0.003453
0.996405,-0.084714,1.993100,-0.003480
0.996377,-0.085050,1.993047,-0.003508
0.996348,-0.085386,1.992993,-0.003536
0.996319,-0.085722,1.992938,-0.003564
0.996290,-0.086058,1.992884,-0.003592
0.996261,-0.086394,1.992829,-0.003620
0.996232,-0.086731,1.992774,-0.003648
0.996202,-0.087067,1.992719,-0.003677
0.996173,-0.087404,1.992664,-0.003705
0.996143,-0.087740,1.992609,-0.003734
0.996114,-0.088077,1.992553,-0.003762
0.996084,-0.088413,1.992497,-0.003791
0.996054,-0.088750,1.992441,-0.003820
0.996024,-0.089086,1.992385,-0.003849
0.995994,-0.089423,1.992328,-0.003878
0.995963,-0.089760,1.992271,-0.003908
0.995933,-0.090097,1.992214,-0.003937
0.995902,-0.090434,1.992157,-0.003967
0.995872,-0.090771,1.992100,-0.003996
0.995841,-0.091108,1.992042,-0.004026
0.995810,-0.091445,1.991984,-0.004056
0.995779,-0.091782,1.991926,-0.004086
0.995748,-0.092119,1.991868,-0.004116
0.995717,-0.092456,1.991810,-0.004146
0.995685,-0.092794,1.991751,-0.004177
0.995654,-0.093131,1.991692,-0.004207
0.995622,-0.093468,1.991633,-0.004238
0.995591,-0.093806,1.991574,-0.004268
0.995559,-0.094143,1.991515,-0.004299
0.995527,-0.094481,1.991455,-0.004330
0.995495,-0.094818,1.991395,-0.004361
0.995462,-0.095156,1.991335,-0.004392
0.995430,-0.095493,1.991275,-0.004424
0.995398,-0.095831,1.991214,-0.004455
0.995365,-0.096169,1.991153,-0.004486
0.995332,-0.096507,1.991092,-0.004518
0.995300,-0.096845,1.991031,-0.004550
0.995267,-0.097182,1.990970,-0.004582
0.995234,-0.097520,1.990908,-0.004614
0.995200,-0.097858,1.990847,-0.004646
0.995167,-0.098196,1.990785,-0.004678
0.995134,-0.098535,1.990722,-0.004710
0.995100,-0.098873,1.990660,-0.004743
0.995066,-0.099211,1.990597,-0.004775
0.995033,-0.099549,1.990535,-0.004808
0.994999,-0.099887,1.990472,-0.004841
0.994965,-0.100226,1.990408,-0.004874
0.994931,-0.100564,1.990345,-0.004907
0.994896,-0.100903,1.990281,-0.004940
0.994862,-0.101241,1.990217,-0.004973
0.994827,-0.101580,1.990153,-0.005007
0.994793,-0.101918,1.990089,-0.005040
0.994758,-0.102257,1.990025,-0.005074
0.994723,-0.102595,1.989960,-0.005108
0.994688,-0.102934,1.989895,-0.005141
0.994653,-0.103273,1.989830,-0.005175
0.994618,-0.103612,1.989765,-0.005210
0.994582,-0.103950,1.989699,-0.005244
0.994547,-0.104289,1.989633,-0.005278
0.994511,-0.104628,1.989567,-0.005313
0.994476,-0.104967,1.989501,-0.005347
0.994440,-0.105306,1.989435,-0.005382
0.994404,-0.105645,1.989368,-0.005417
0.994368,-0.105984,1.989302,-0.005452
0.994332,-0.106324,1.989235,-0.005487
0.994295,-0.106663,1.989167,-0.005522
0.994259,-0.107002,1.989100,-0.005557
0.994222,-0.107341,1.989032,-0.005593
0.994186,-0.107681,1.988965,-0.005628
0.994149,-0.108020,1.988897,-0.005664
0.994112,-0.108359,1.988828,-0.005700
0.994075,-0.108699,1.988760,-0.005735
0.994038,-0.109038,1.988691,-0.005771
0.994000,-0.109378,1.988622,-0.005808
0.993963,-0.109717,1.988553,-0.005844
0.993925,-0.110057,1.988484,-0.005880
0.993888,-0.110397,1.988415,-0.005917
0.993850,-0.110736,1.988345,-0.005953
0.993812,-0.111076,1.988275,-0.005990
0.993774,-0.111416,1.988205,-0.006027
0.993736,-0.111756,1.988135,-0.006064
0.993697,-0.112096,1.988064,-0.006101
0.993659,-0.112435,1.987993,-0.006138
0.993621,-0.112775,1.987923,-0.006176
0.993582,-0.113115,1.987851,-0.006213
0.993543,-0.113455,1.987780,-0.006251
0.993504,-0.113796,1.987708,-0.006288
0.993465,-0.114136,1.987637,-0.006326
0.993426,-0.114476,1.987565,-0.006364
0.993387,-0.114816,1.987493,-0.006402
0.993347,-0.115156,1.987420,-0.006440
0.993308,-0.115496,1.987348,-0.006479
0.993268,-0.115837,1.987275,-0.006517
0.993229,-0.116177,1.987202,-0.006556
0.993189,-0.116518,1.987129,-0.006594
0.993149,-0.116858,1.987055,-0.006633
0.993109,-0.117198,1.986982,-0.006672
0.993068,-0.117539,1.986908,-0.006711
0.993028,-0.117879,1.986834,-0.006750
0.992987,-0.118220,1.986760,-0.006789
0.992947,-0.118561,1.986685,-0.006829
0.992906,-0.118901,1.986611,-0.006868
0.992865,-0.119242,1.986536,-0.006908
0.992824,-0.119583,1.986461,-0.006948
0.992783,-0.119924,1.986385,-0.006988
0.992742,-0.120264,1.986310,-0.007027
0.992701,-0.120605,1.986234,-0.007068
0.992659,-0.120946,1.986158,-0.007108
0.992617,-0.121287,1.986082,-0.007148
0.992576,-0.121628,1.986006,-0.007189
0.992534,-0.121969,1.985930,-0.007229
0.992492,-0.122310,1.985853,-0.007270
0.992450,-0.122651,1.985776,-0.007311
0.992408,-0.122992,1.985699,-0.007352
0.992365,-0.123333,1.985621,-0.007393
0.992323,-0.123674,1.985544,-0.007434
0.992280,-0.124016,1.985466,-0.007475
0.992238,-0.124357,1.985388,-0.007517
0.992195,-0.124698,1.985310,-0.007559
0.992152,-0.125040,1.985232,-0.007600
0.992109,-0.125381,1.985153,-0.007642
0.992065,-0.125722,1.985075,-0.007684
0.992022,-0.126064,1.984996,-0.007726
0.991979,-0.126405,1.984916,-0.007768
0.991935,-0.126747,1.984837,-0.007811
0.991891,-0.127088,1.984757,-0.007853
0.991848,-0.127430,1.984678,-0.007896
0.991804,-0.127771,1.984598,-0.007938
0.991760,-0.128113,1.984518,-0.007981
0.991715,-0.128455,1.984437,-0.008024
0.991671,-0.128796,1.984357,-0.008067
0.991627,-0.129138,1.984276,-0.008110
0.991582,-0.129480,1.984195,-0.008154
0.991537,-0.129822,1.984114,-0.008197
0.991493,-0.130163,1.984032,-0.008240
0.991448,-0.130505,1.983951,-0.008284
0.991403,-0.130847,1.983869,-0.008328
0.991357,-0.131189,1.983787,-0.008372
0.991312,-0.131531,1.983704,-0.008416
0.991267,-0.131873,1.983622,-0.008460
0.991221,-0.132215,1.983539,-0.008504
0.991175,-0.132557,1.983457,-0.008549
0.991130,-0.132899,1.983374,-0.008593
0.991084,-0.133241,1.983290,-0.008638
0.991038,-0.133583,1.983207,-0.008683
0.990991,-0.133926,1.983123,-0.008728
0.990945,-0.134268,1.983039,-0.008773
0.990899,-0.134610,1.982955,-0.008818
0.990852,-0.134952,1.982871,-0.008863
0.990805,-0.135295,1.982787,-0.008908
0.990759,-0.135637,1.982702,-0.008954
0.990712,-0.135979,1.982617,-0.009000
0.990665,-0.136322,1.982532,-0.009045
0.990617,-0.136664,1.982447,-0.009091
0.990570,-0.137007,1.982361,-0.009137
0.990523,-0.137349,1.982276,-0.009183
0.990475,-0.137691,1.982190,-0.009230
0.990427,-0.138034,1.982104,-0.009276
0.990380,-0.138377,1.982017,-0.009323
0.990332,-0.138719,1.981931,-0.009369
0.990284,-0.139062,1.981844,-0.009416
0.990236,-0.139404,1.981757,-0.009463
0.990187,-0.139747,1.981670,-0.009510
0.990139,-0.140090,1.981583,-0.009557
0.990090,-0.140433,1.981495,-0.009604
0.990042,-0.140775,1.981408,-0.009652
0.989993,-0.141118,1.981320,-0.009699
0.989944,-0.141461,1.981232,-0.009747
0.989895,-0.141804,1.981143,-0.009795
0.989846,-0.142147,1.981055,-0.009842
0.989796,-0.142490,1.980966,-0.009890
0.989747,-0.142833,1.980877,-0.009939
0.989697,-0.143176,1.980788,-0.009987
0.989648,-0.143519,1.980699,-0.010035
0.989598,-0.143862,1.980609,-0.010084
0.989548,-0.144205,1.980519,-0.010132
0.989498,-0.144548,1.980430,-0.010181
0.989448,-0.144891,1.980339,-0.010230
0.989397,-0.145234,1.980249,-0.010279
0.989347,-0.145577,1.980159,-0.010328
0.989296,-0.145920,1.980068,-0.010377
0.989246,-0.146263,1.979977,-0.010427
0.989195,-0.146607,1.979886,-0.010476
0.989144,-0.146950,1.979794,-0.010526
0.989093,-0.147293,1.979703,-0.010576
0.989042,-0.147636,1.979611,-0.010626
0.988990,-0.147980,1.979519,-0.010676
0.988939,-0.148323,1.979427,-0.010726
0.988887,-0.148667,1.979335,-0.010776
0.988836,-0.149010,1.979242,-0.010827
0.988784,-0.149353,1.979150,-0.010877
0.988732,-0.149697,1.979057,-0.010928
0.988680,-0.150040,1.978964,-0.010978
0.988628,-0.150384,1.978870,-0.011029
0.988575,-0.150727,1.978777,-0.011080
0.988523,-0.151071,1.978683,-0.011132
0.988470,-0.151414,1.978589,-0.011183
0.988418,-0.151758,1.978495,-0.011234
0.988365,-0.152102,1.978401,-0.011286
0.988312,-0.152445,1.978306,-0.011337
0.988259,-0.152789,1.978211,-0.011389
0.988206,-0.153133,1.978116,-0.011441
0.988152,-0.153476,1.978021,-0.011493
0.988099,-0.153820,1.977926,-0.011545
0.988045,-0.154164,1.977831,-0.011598
0.987992,-0.154508,1.977735,-0.011650
0.987938,-0.154851,1.977639,-0.011703
0.987884,-0.155195,1.977543,-0.011755
0.987830,-0.155539,1.977447,-0.011808
0.987776,-0.155883,1.977350,-0.011861
0.987721,-0.156227,1.977253,-0.011914
0.987667,-0.156571,1.977156,-0.011967
0.987612,-0.156915,1.977059,-0.012020
0.987557,-0.157259,1.976962,-0.012074
0.987503,-0.157603,1.976865,-0.012127
0.987448,-0.157947,1.976767,-0.012181
0.987393,-0.158291,1.976669,-0.012235
0.987337,-0.158635,1.976571,-0.012289
0.987282,-0.158979,1.976473,-0.012343
0.987227,-0.159323,1.976374,-0.012397
0.987171,-0.159667,1.976275,-0.012451
0.987115,-0.160011,1.976177,-0.012506
0.987059,-0.160355,1.976077,-0.012561
0.987003,-0.160699,1.975978,-0.012615
0.986947,-0.161044,1.975879,-0.012670
0.986891,-0.161388,1.975779,-0.012725
0.986835,-0.161732,1.975679,-0.012780
0.986778,-0.162076,1.975579,-0.012835
0.986722,-0.162420,1.975479,-0.012891
0.986665,-0.162765,1.975378,-0.012946
0.986608,-0.163109,1.975278,-0.013002
0.986551,-0.163453,1.975177,-0.013057
0.986494,-0.163798,1.975076,-0.013113
0.986437,-0.164142,1.974975,-0.013169
0.986379,-0.164486,1.974873,-0.013225
0.986322,-0.164831,1.974772,-0.013282
0.986264,-0.165175,1.974670,-0.013338
0.986206,-0.165520,1.974568,-0.013395
0.986149,-0.165864,1.974466,-0.013451
0.986091,-0.166209,1.974363,-0.013508
0.986033,-0.166553,1.974261,-0.013565
0.985974,-0.166898,1.974158,-0.013622
0.985916,-0.167242,1.974055,-0.013679
0.985857,-0.167587,1.973952,-0.013736
0.985799,-0.167931,1.973848,-0.013794
0.985740,-0.168276,1.973745,-0.013851
0.985681,-0.168620,1.973641,-0.013909
0.985622,-0.168965,1.973537,-0.013967
0.985563,-0.169309,1.973433,-0.014024
0.985504,-0.169654,1.973328,-0.014082
0.985444,-0.169999,1.973224,-0.014141
0.985385,-0.170343,1.973119,-0.014199
0.985325,-0.170688,1.973014,-0.014257
0.985265,-0.171033,1.972909,-0.014316
0.985205,-0.171378,1.972804,-0.014375
0.985145,-0.171722,1.972698,-0.014433
0.985085,-0.172067,1.972592,-0.014492
0.985025,-0.172412,1.972486,-0.014551
0.984965,-0.172757,1.972380,-0.014611
0.984904,-0.173101,1.972274,-0.014670
0.984843,-0.173446,1.972168,-0.014729
0.984783,-0.173791,1.972061,-0.014789
0.984722,-0.174136,1.971954,-0.014849
0.984661,-0.174481,1.971847,-0.014909
0.984599,-0.174825,1.971740,-0.014968
0.984538,-0.175170,1.971632,-0.015029
0.984477,-0.175515,1.971525,-0.015089
0.984415,-0.175860,1.971417,-0.015149
0.984353,-0.176205,1.971309,-0.015210
0.984292,-0.176550,1.971200,-0.015270
