theta1,theta2,p1,p2
1.570796,1.570796,-3.162278,0.000000
1.570480,1.571113,-3.164240,-0.000981
1.570164,1.571429,-3.166203,-0.001961
1.569847,1.571745,-3.168167,-0.002940
1.569531,1.572061,-3.170131,-0.003919
1.569214,1.572377,-3.172096,-0.004897
1.568897,1.572694,-3.174061,-0.005875
1.568580,1.573010,-3.176027,-0.006851
1.568263,1.573326,-3.177994,-0.007828
1.567946,1.573642,-3.179961,-0.008803
1.567629,1.573959,-3.181929,-0.009778
1.567312,1.574275,-3.183898,-0.010753
1.566995,1.574591,-3.185867,-0.011726
1.566677,1.574907,-3.187837,-0.012699
1.566360,1.575223,-3.189808,-0.013672
1.566042,1.575540,-3.191779,-0.014644
1.565724,1.575856,-3.193751,-0.015615
1.565406,1.576172,-3.195724,-0.016585
1.565088,1.576488,-3.197697,-0.017555
1.564770,1.576804,-3.199671,-0.018524
1.564452,1.577121,-3.201645,-0.019493
1.564134,1.577437,-3.203620,-0.020461
1.563816,1.577753,-3.205596,-0.021428
1.563497,1.578069,-3.207572,-0.022395
1.563179,1.578385,-3.209549,-0.023361
1.562860,1.578702,-3.211527,-0.024326
1.562542,1.579018,-3.213505,-0.025291
1.562223,1.579334,-3.215484,-0.026255
1.561904,1.579650,-3.217464,-0.027218
1.561585,1.579966,-3.219444,-0.028181
1.561266,1.580282,-3.221425,-0.029143
1.560947,1.580598,-3.223407,-0.030104
1.560628,1.580915,-3.225389,-0.031065
1.560308,1.581231,-3.227372,-0.032025
1.559989,1.581547,-3.229356,-0.032985
1.559669,1.581863,-3.231340,-0.033944
1.559350,1.582179,-3.233325,-0.034902
1.559030,1.582495,-3.235310,-0.035859
1.558710,1.582811,-3.237296,-0.036816
1.558390,1.583127,-3.239283,-0.037772
1.558070,1.583443,-3.241271,-0.038728
1.557750,1.583759,-3.243259,-0.039683
1.557430,1.584076,-3.245248,-0.040637
1.557110,1.584392,-3.247237,-0.041591
1.556789,1.584708,-3.249227,-0.042544
1.556469,1.585024,-3.251218,-0.043496
1.556148,1.585340,-3.253210,-0.044448
1.555827,1.585656,-3.255202,-0.045399
1.555507,1.585972,-3.257194,-0.046349
1.555186,1.586288,-3.259188,-0.047299
1.554865,1.586604,-3.261182,-0.048248
1.554544,1.586920,-3.263177,-0.049196
1.554223,1.587236,-3.265172,-0.050144
1.553902,1.587552,-3.267168,-0.051091
1.553580,1.587868,-3.269165,-0.052037
1.553259,1.588184,-3.271162,-0.052983
1.552937,1.588499,-3.273161,-0.053928
1.552616,1.588815,-3.275159,-0.054872
1.552294,1.589131,-3.277159,-0.055816
1.551973,1.589447,-3.279159,-0.056759
1.551651,1.589763,-3.281160,-0.057702
1.551329,1.590079,-3.283161,-0.058643
1.551007,1.590395,-3.285163,-0.059585
1.550685,1.590711,-3.287166,-0.060525
1.550362,1.591026,-3.289169,-0.061465
1.550040,1.591342,-3.291173,-0.062404
1.549718,1.591658,-3.293178,-0.063342
1.549395,1.591974,-3.295184,-0.064280
1.549073,1.592290,-3.297190,-0.065217
1.548750,1.592605,-3.299197,-0.066154
1.548427,1.592921,-3.301204,-0.067089
1.548105,1.593237,-3.303212,-0.068024
1.547782,1.593553,-3.305221,-0.068959
1.547459,1.593868,-3.307231,-0.069893
1.547136,1.594184,-3.309241,-0.070826
1.546812,1.594500,-3.311252,-0.071758
1.546489,1.594815,-3.313263,-0.072690
1.546166,1.595131,-3.315275,-0.073621
1.545842,1.595447,-3.317288,-0.074551
1.545519,1.595762,-3.319302,-0.075481
1.545195,1.596078,-3.321316,-0.076410
1.544871,1.596394,-3.323331,-0.077339
1.544548,1.596709,-3.325347,-0.078266
1.544224,1.597025,-3.327363,-0.079193
1.543900,1.597340,-3.329380,-0.080120
1.543576,1.597656,-3.331398,-0.081045
1.543252,1.597971,-3.333416,-0.081970
1.542927,1.598287,-3.335435,-0.082895
1.542603,1.598602,-3.337455,-0.083818
1.542279,1.598918,-3.339475,-0.084741
1.541954,1.599233,-3.341496,-0.085664
1.541630,1.599549,-3.343518,-0.086585
1.541305,1.599864,-3.345540,-0.087506
1.540980,1.600179,-3.347563,-0.088427
1.540655,1.600495,-3.349587,-0.089346
1.540330,1.600810,-3.351612,-0.090265
1.540005,1.601125,-3.353637,-0.091184
1.539680,1.601441,-3.355663,-0.092101
1.539355,1.601756,-3.357689,-0.093018
1.539030,1.602071,-3.359717,-0.093934
1.538705,1.602387,-3.361745,-0.094850
1.538379,1.602702,-3.363773,-0.095765
1.538054,1.603017,-3.365802,-0.096679
1.537728,1.603332,-3.367832,-0.097593
1.537402,1.603647,-3.369863,-0.098505
1.537076,1.603963,-3.371895,-0.099418
1.536751,1.604278,-3.373927,-0.100329
1.536425,1.604593,-3.375959,-0.101240
1.536099,1.604908,-3.377993,-0.102150
1.535773,1.605223,-3.380027,-0.103060
1.535446,1.605538,-3.382062,-0.103968
1.535120,1.605853,-3.384097,-0.104876
1.534794,1.606168,-3.386134,-0.105784
1.534467,1.606483,-3.388170,-0.106691
1.534141,1.606798,-3.390208,-0.107597
1.533814,1.607113,-3.392246,-0.108502
1.533487,1.607428,-3.394285,-0.109407
1.533161,1.607743,-3.396325,-0.110311
1.532834,1.608058,-3.398365,-0.111214
1.532507,1.608372,-3.400406,-0.112117
1.532180,1.608687,-3.402448,-0.113018
1.531853,1.609002,-3.404491,-0.113920
1.531526,1.609317,-3.406534,-0.114820
1.531198,1.609632,-3.408578,-0.115720
1.530871,1.609946,-3.410622,-0.116619
1.530544,1.610261,-3.412668,-0.117518
1.530216,1.610576,-3.414714,-0.118416
1.529888,1.610890,-3.416760,-0.119313
1.529561,1.611205,-3.418808,-0.120209
1.529233,1.611520,-3.420856,-0.121105
1.528905,1.611834,-3.422904,-0.122000
1.528577,1.612149,-3.424954,-0.122895
1.528249,1.612463,-3.427004,-0.123788
1.527921,1.612778,-3.429055,-0.124681
1.527593,1.613092,-3.431106,-0.125574
1.527265,1.613407,-3.433159,-0.126465
1.526936,1.613721,-3.435212,-0.127356
1.526608,1.614035,-3.437265,-0.128247
1.526279,1.614350,-3.439320,-0.129136
1.525951,1.614664,-3.441375,-0.130025
1.525622,1.614978,-3.443430,-0.130913
1.525294,1.615293,-3.445487,-0.131801
1.524965,1.615607,-3.447544,-0.132688
1.524636,1.615921,-3.449602,-0.133574
1.524307,1.616235,-3.451660,-0.134459
1.523978,1.616549,-3.453720,-0.135344
1.523649,1.616864,-3.455780,-0.136228
1.523320,1.617178,-3.457840,-0.137111
1.522990,1.617492,-3.459902,-0.137994
1.522661,1.617806,-3.461964,-0.138876
1.522331,1.618120,-3.464027,-0.139757
1.522002,1.618434,-3.466090,-0.140638
1.521672,1.618748,-3.468154,-0.141518
1.521343,1.619062,-3.470219,-0.142397
1.521013,1.619375,-3.472285,-0.143276
1.520683,1.619689,-3.474351,-0.144153
1.520353,1.620003,-3.476418,-0.145031
1.520023,1.620317,-3.478486,-0.145907
1.519693,1.620631,-3.480554,-0.146783
1.519363,1.620944,-3.482623,-0.147658
1.519033,1.621258,-3.484693,-0.148532
1.518702,1.621572,-3.486764,-0.149406
1.518372,1.621885,-3.488835,-0.150279
1.518042,1.622199,-3.490907,-0.151151
1.517711,1.622513,-3.492980,-0.152023
1.517381,1.622826,-3.495053,-0.152894
1.517050,1.623140,-3.497127,-0.153764
1.516719,1.623453,-3.499202,-0.154634
1.516388,1.623766,-3.501278,-0.155502
1.516057,1.624080,-3.503354,-0.156371
1.515726,1.624393,-3.505431,-0.157238
1.515395,1.624707,-3.507508,-0.158105
1.515064,1.625020,-3.509587,-0.158971
1.514733,1.625333,-3.511666,-0.159836
1.514402,1.625646,-3.513746,-0.160701
1.514070,1.625959,-3.515826,-0.161565
1.513739,1.626273,-3.517907,-0.162428
1.513407,1.626586,-3.519989,-0.163291
1.513076,1.626899,-3.522072,-0.164153
1.512744,1.627212,-3.524155,-0.165014
1.512412,1.627525,-3.526239,-0.165874
1.512081,1.627838,-3.528324,-0.166734
1.511749,1.628151,-3.530409,-0.167593
1.511417,1.628464,-3.532495,-0.168452
1.511085,1.628777,-3.534582,-0.169309
1.510753,1.629089,-3.536670,-0.170166
1.510420,1.629402,-3.538758,-0.171023
1.510088,1.629715,-3.540847,-0.171878
1.509756,1.630028,-3.542937,-0.172733
1.509424,1.630340,-3.545027,-0.173588
1.509091,1.630653,-3.547118,-0.174441
1.508758,1.630965,-3.549210,-0.175294
1.508426,1.631278,-3.551303,-0.176146
1.508093,1.631591,-3.553396,-0.176998
1.507760,1.631903,-3.555490,-0.177848
1.507428,1.632215,-3.557585,-0.178698
1.507095,1.632528,-3.559680,-0.179548
1.506762,1.632840,-3.561776,-0.180396
1.506429,1.633152,-3.563873,-0.181244
1.506096,1.633465,-3.565971,-0.182092
1.505762,1.633777,-3.568069,-0.182938
1.505429,1.634089,-3.570168,-0.183784
1.505096,1.634401,-3.572268,-0.184629
1.504762,1.634713,-3.574368,-0.185474
1.504429,1.635026,-3.576469,-0.186318
1.504095,1.635338,-3.578571,-0.187161
1.503762,1.635650,-3.580673,-0.188003
1.503428,1.635961,-3.582777,-0.188845
1.503094,1.636273,-3.584881,-0.189686
1.502760,1.636585,-3.586985,-0.190526
1.502426,1.636897,-3.589091,-0.191366
1.502092,1.637209,-3.591197,-0.192205
1.501758,1.637521,-3.593304,-0.193043
1.501424,1.637832,-3.595411,-0.193880
1.501090,1.638144,-3.597519,-0.194717
1.500756,1.638455,-3.599628,-0.195553
1.500422,1.638767,-3.601738,-0.196389
1.500087,1.639078,-3.603848,-0.197224
1.499753,1.639390,-3.605959,-0.198058
1.499418,1.639701,-3.608071,-0.198891
1.499084,1.640013,-3.610184,-0.199724
1.498749,1.640324,-3.612297,-0.200556
1.498414,1.640635,-3.614411,-0.201387
1.498079,1.640947,-3.616525,-0.202217
1.497744,1.641258,-3.618641,-0.203047
1.497409,1.641569,-3.620757,-0.203876
1.497074,1.641880,-3.622874,-0.204705
1.496739,1.642191,-3.624991,-0.205533
1.496404,1.642502,-3.627109,-0.206360
1.496069,1.642813,-3.629228,-0.207186
1.495734,1.643124,-3.631348,-0.208012
1.495398,1.643435,-3.633468,-0.208837
1.495063,1.643746,-3.635589,-0.209661
1.494727,1.644056,-3.637711,-0.210485
1.494392,1.644367,-3.639833,-0.211308
1.494056,1.644678,-3.641957,-0.212130
1.493720,1.644988,-3.644080,-0.212951
1.493385,1.645299,-3.646205,-0.213772
1.493049,1.645610,-3.648330,-0.214592
1.492713,1.645920,-3.650456,-0.215412
1.492377,1.646230,-3.652583,-0.216230
1.492041,1.646541,-3.654711,-0.217048
1.491705,1.646851,-3.656839,-0.217866
1.491369,1.647161,-3.658968,-0.218682
1.491032,1.647472,-3.661097,-0.219498
1.490696,1.647782,-3.663227,-0.220314
1.490360,1.648092,-3.665358,-0.221128
1.490023,1.648402,-3.667490,-0.221942
1.489687,1.648712,-3.669623,-0.222755
1.489350,1.649022,-3.671756,-0.223568
1.489014,1.649332,-3.673889,-0.224379
1.488677,1.649642,-3.676024,-0.225190
1.488340,1.649952,-3.678159,-0.226001
1.488003,1.650262,-3.680295,-0.226811
1.487667,1.650571,-3.682432,-0.227620
1.487330,1.650881,-3.684569,-0.228428
1.486993,1.651191,-3.686707,-0.229235
1.486655,1.651500,-3.688846,-0.230042
1.486318,1.651810,-3.690986,-0.230849
1.485981,1.652119,-3.693126,-0.231654
1.485644,1.652429,-3.695267,-0.232459
1.485307,1.652738,-3.697408,-0.233263
1.484969,1.653047,-3.699551,-0.234067
1.484632,1.653356,-3.701694,-0.234869
1.484294,1.653666,-3.703837,-0.235671
1.483957,1.653975,-3.705982,-0.236473
1.483619,1.654284,-3.708127,-0.237273
1.483281,1.654593,-3.710273,-0.238073
1.482943,1.654902,-3.712420,-0.238873
1.482606,1.655211,-3.714567,-0.239671
1.482268,1.655520,-3.716715,-0.240469
1.481930,1.655828,-3.718863,-0.241266
1.481592,1.656137,-3.721013,-0.242063
1.481253,1.656446,-3.723163,-0.242859
1.480915,1.656755,-3.725314,-0.243654
1.480577,1.657063,-3.727465,-0.244448
1.480239,1.657372,-3.729617,-0.245242
1.479900,1.657680,-3.731770,-0.246035
1.479562,1.657989,-3.733924,-0.246828
1.479224,1.658297,-3.736078,-0.247619
1.478885,1.658605,-3.738233,-0.248410
1.478546,1.658913,-3.740389,-0.249201
1.478208,1.659222,-3.742545,-0.249990
1.477869,1.659530,-3.744703,-0.250779
1.477530,1.659838,-3.746860,-0.251567
1.477191,1.660146,-3.749019,-0.252355
1.476853,1.660454,-3.751178,-0.253142
1.476514,1.660762,-3.753338,-0.253928
1.476175,1.661069,-3.755499,-0.254713
1.475836,1.661377,-3.757660,-0.255498
1.475496,1.661685,-3.759822,-0.256282
1.475157,1.661993,-3.761985,-0.257066
1.474818,1.662300,-3.764148,-0.257849
1.474479,1.662608,-3.766312,-0.258631
1.474139,1.662915,-3.768477,-0.259412
1.473800,1.663223,-3.770643,-0.260193
1.473460,1.663530,-3.772809,-0.260973
1.473121,1.663837,-3.774976,-0.261752
1.472781,1.664144,-3.777144,-0.262531
1.472441,1.664452,-3.779312,-0.263308
1.472102,1.664759,-3.781481,-0.264086
1.471762,1.665066,-3.783651,-0.264862
1.471422,1.665373,-3.785821,-0.265638
1.471082,1.665680,-3.787992,-0.266413
1.470742,1.665987,-3.790164,-0.267188
1.470402,1.666293,-3.792336,-0.267962
1.470062,1.666600,-3.794510,-0.268735
1.469722,1.666907,-3.796683,-0.269507
1.469382,1.667213,-3.798858,-0.270279
1.469041,1.667520,-3.801033,-0.271050
1.468701,1.667826,-3.803209,-0.271820
1.468361,1.668133,-3.805386,-0.272590
1.468020,1.668439,-3.807563,-0.273359
1.467680,1.668745,-3.809741,-0.274128
1.467339,1.669052,-3.811920,-0.274895
1.466998,1.669358,-3.814099,-0.275662
1.466658,1.669664,-3.816280,-0.276429
1.466317,1.669970,-3.818460,-0.277194
1.465976,1.670276,-3.820642,-0.277959
1.465635,1.670582,-3.822824,-0.278723
1.465294,1.670888,-3.825007,-0.279487
1.464954,1.671193,-3.827190,-0.280250
1.464613,1.671499,-3.829375,-0.281012
1.464271,1.671805,-3.831560,-0.281774
1.463930,1.672110,-3.833745,-0.282535
1.463589,1.672416,-3.835931,-0.283295
1.463248,1.672721,-3.838118,-0.284054
1.462907,1.673027,-3.840306,-0.284813
1.462565,1.673332,-3.842494,-0.285571
1.462224,1.673637,-3.844684,-0.286329
1.461882,1.673942,-3.846873,-0.287086
1.461541,1.674248,-3.849064,-0.287842
1.461199,1.674553,-3.851255,-0.288597
1.460858,1.674858,-3.853447,-0.289352
1.460516,1.675162,-3.855639,-0.290106
1.460174,1.675467,-3.857832,-0.290859
1.459832,1.675772,-3.860026,-0.291612
1.459491,1.676077,-3.862220,-0.292364
1.459149,1.676381,-3.864416,-0.293116
1.458807,1.676686,-3.866611,-0.293866
1.458465,1.676990,-3.868808,-0.294616
1.458123,1.677295,-3.871005,-0.295366
1.457780,1.677599,-3.873203,-0.296115
1.457438,1.677903,-3.875402,-0.296863
1.457096,1.678208,-3.877601,-0.297610
1.456754,1.678512,-3.879801,-0.298357
1.456411,1.678816,-3.882001,-0.299103
1.456069,1.679120,-3.884203,-0.299848
1.455727,1.679424,-3.886405,-0.300593
1.455384,1.679728,-3.888607,-0.301337
1.455042,1.680031,-3.890810,-0.302080
1.454699,1.680335,-3.893014,-0.302823
1.454356,1.680639,-3.895219,-0.303565
1.454014,1.680942,-3.897424,-0.304306
1.453671,1.681246,-3.899630,-0.305047
1.453328,1.681549,-3.901837,-0.305787
1.452985,1.681852,-3.904044,-0.306526
1.452642,1.682156,-3.906252,-0.307265
1.452299,1.682459,-3.908461,-0.308003
1.451956,1.682762,-3.910670,-0.308740
1.451613,1.683065,-3.912880,-0.309477
1.451270,1.683368,-3.915091,-0.310213
1.450927,1.683671,-3.917302,-0.310948
1.450583,1.683974,-3.919514,-0.311683
1.450240,1.684277,-3.921727,-0.312417
1.449897,1.684579,-3.923940,-0.313150
1.449553,1.684882,-3.926154,-0.313883
1.449210,1.685184,-3.928369,-0.314615
1.448866,1.685487,-3.930584,-0.315346
1.448523,1.685789,-3.932800,-0.316077
1.448179,1.686092,-3.935017,-0.316807
1.447836,1.686394,-3.937234,-0.317536
1.447492,1.686696,-3.939452,-0.318265
1.447148,1.686998,-3.941671,-0.318993
1.446804,1.687300,-3.943890,-0.319720
1.446461,1.687602,-3.946110,-0.320447
1.446117,1.687904,-3.948330,-0.321173
1.445773,1.688206,-3.950552,-0.321899
1.445429,1.688507,-3.952774,-0.322623
1.445085,1.688809,-3.954996,-0.323347
1.444741,1.689110,-3.957219,-0.324071
1.444396,1.689412,-3.959443,-0.324794
1.444052,1.689713,-3.961668,-0.325516
1.443708,1.690015,-3.963893,-0.326237
1.443364,1.690316,-3.966119,-0.326958
1.443019,1.690617,-3.968345,-0.327678
1.442675,1.690918,-3.970572,-0.328398
1.442330,1.691219,-3.972800,-0.329117
1.441986,1.691520,-3.975028,-0.329835
1.441641,1.691821,-3.977258,-0.330552
1.441297,1.692122,-3.979487,-0.331269
1.440952,1.692422,-3.981718,-0.331985
1.440607,1.692723,-3.983949,-0.332701
1.440263,1.693023,-3.986180,-0.333416
1.439918,1.693324,-3.988413,-0.334130
1.439573,1.693624,-3.990646,-0.334844
1.439228,1.693924,-3.992879,-0.335557
1.438883,1.694225,-3.995113,-0.336269
1.438538,1.694525,-3.997348,-0.336981
1.438193,1.694825,-3.999584,-0.337692
1.437848,1.695125,-4.001820,-0.338402
1.437503,1.695425,-4.004057,-0.339112
1.437158,1.695724,-4.006294,-0.339821
1.436812,1.696024,-4.008532,-0.340530
1.436467,1.696324,-4.010771,-0.341237
1.436122,1.696623,-4.013010,-0.341945
1.435776,1.696923,-4.015250,-0.342651
1.435431,1.697222,-4.017491,-0.343357
1.435086,1.697521,-4.019732,-0.344062
1.434740,1.697821,-4.021974,-0.344767
1.434395,1.698120,-4.024217,-0.345471
1.434049,1.698419,-4.026460,-0.346174
1.433703,1.698718,-4.028703,-0.346877
1.433358,1.699017,-4.030948,-0.347579
1.433012,1.699315,-4.033193,-0.348280
1.432666,1.699614,-4.035439,-0.348981
1.432320,1.699913,-4.037685,-0.349681
1.431974,1.700211,-4.039932,-0.350380
1.431628,1.700510,-4.042179,-0.351079
1.431282,1.700808,-4.044428,-0.351777
1.430936,1.701106,-4.046676,-0.352475
1.430590,1.701405,-4.048926,-0.353172
1.430244,1.701703,-4.051176,-0.353868
1.429898,1.702001,-4.053426,-0.354564
1.429552,1.702299,-4.055678,-0.355259
1.429206,1.702597,-4.057930,-0.355953
1.428859,1.702894,-4.060182,-0.356647
1.428513,1.703192,-4.062435,-0.357340
1.428166,1.703490,-4.064689,-0.358032
1.427820,1.703787,-4.066943,-0.358724
1.427474,1.704085,-4.069198,-0.359415
1.427127,1.704382,-4.071454,-0.360106
1.426780,1.704679,-4.073710,-0.360796
1.426434,1.704976,-4.075967,-0.361485
1.426087,1.705273,-4.078225,-0.362174
1.425740,1.705570,-4.080483,-0.362862
1.425394,1.705867,-4.082741,-0.363549
1.425047,1.706164,-4.085001,-0.364236
1.424700,1.706461,-4.087261,-0.364922
1.424353,1.706758,-4.089521,-0.365608
1.424006,1.707054,-4.091782,-0.366293
1.423659,1.707351,-4.094044,-0.366977
1.423312,1.707647,-4.096306,-0.367661
1.422965,1.707943,-4.098569,-0.368344
1.422618,1.708239,-4.100833,-0.369026
1.422271,1.708536,-4.103097,-0.369708
1.421924,1.708832,-4.105362,-0.370389
1.421577,1.709128,-4.107627,-0.371070
1.421229,1.709423,-4.109893,-0.371750
1.420882,1.709719,-4.112159,-0.372429
1.420535,1.710015,-4.114427,-0.373108
1.420187,1.710310,-4.116694,-0.373786
1.419840,1.710606,-4.118963,-0.374463
1.419492,1.710901,-4.121232,-0.375140
1.419145,1.711196,-4.123501,-0.375816
1.418797,1.711492,-4.125771,-0.376492
1.418450,1.711787,-4.128042,-0.377167
1.418102,1.712082,-4.130313,-0.377841
1.417754,1.712377,-4.132585,-0.378515
1.417407,1.712672,-4.134858,-0.379188
1.417059,1.712966,-4.137131,-0.379860
1.416711,1.713261,-4.139404,-0.380532
1.416363,1.713556,-4.141679,-0.381204
1.416015,1.713850,-4.143953,-0.381874
1.415667,1.714144,-4.146229,-0.382544
1.415319,1.714439,-4.148505,-0.383214
1.414971,1.714733,-4.150781,-0.383883
1.414623,1.715027,-4.153059,-0.384551
1.414275,1.715321,-4.155336,-0.385219
1.413927,1.715615,-4.157615,-0.385886
1.413579,1.715909,-4.159894,-0.386552
1.413230,1.716202,-4.162173,-0.387218
1.412882,1.716496,-4.164453,-0.387883
1.412534,1.716790,-4.166734,-0.388548
1.412185,1.717083,-4.169015,-0.389212
1.411837,1.717376,-4.171297,-0.389875
1.411489,1.717670,-4.173579,-0.390538
1.411140,1.717963,-4.175862,-0.391200
1.410792,1.718256,-4.178146,-0.391861
1.410443,1.718549,-4.180430,-0.392522
1.410094,1.718842,-4.182714,-0.393183
1.409746,1.719134,-4.184999,-0.393843
1.409397,1.719427,-4.187285,-0.394502
1.409048,1.719720,-4.189572,-0.395160
1.408700,1.720012,-4.191859,-0.395818
1.408351,1.720305,-4.194146,-0.396476
1.408002,1.720597,-4.196434,-0.397132
1.407653,1.720889,-4.198723,-0.397789
1.407304,1.721181,-4.201012,-0.398444
1.406955,1.721473,-4.203302,-0.399099
1.406606,1.721765,-4.205592,-0.399754
1.406257,1.722057,-4.207883,-0.400407
1.405908,1.722349,-4.210174,-0.401061
1.405559,1.722640,-4.212466,-0.401713
1.405210,1.722932,-4.214759,-0.402365
1.404861,1.723223,-4.217052,-0.403017
1.404511,1.723514,-4.219345,-0.403668
1.404162,1.723806,-4.221639,-0.404318
1.403813,1.724097,-4.223934,-0.404968
1.403464,1.724388,-4.226229,-0.405617
1.403114,1.724679,-4.228525,-0.406265
1.402765,1.724969,-4.230822,-0.406913
1.402415,1.725260,-4.233118,-0.407560
1.402066,1.725551,-4.235416,-0.408207
1.401716,1.725841,-4.237714,-0.408853
1.401367,1.726132,-4.240012,-0.409499
1.401017,1.726422,-4.242312,-0.410144
1.400667,1.726712,-4.244611,-0.410788
1.400318,1.727002,-4.246911,-0.411432
1.399968,1.727292,-4.249212,-0.412075
1.399618,1.727582,-4.251513,-0.412718
1.399268,1.727872,-4.253815,-0.413360
1.398919,1.728162,-4.256117,-0.414001
1.398569,1.728452,-4.258420,-0.414642
1.398219,1.728741,-4.260724,-0.415283
1.397869,1.729030,-4.263027,-0.415922
1.397519,1.729320,-4.265332,-0.416562
1.397169,1.729609,-4.267637,-0.417200
1.396819,1.729898,-4.269942,-0.417838
1.396469,1.730187,-4.272248,-0.418476
1.396118,1.730476,-4.274555,-0.419113
1.395768,1.730765,-4.276862,-0.419749
1.395418,1.731054,-4.279170,-0.420385
1.395068,1.731342,-4.281478,-0.421020
1.394718,1.731631,-4.283786,-0.421654
1.394367,1.731919,-4.286096,-0.422288
1.394017,1.732207,-4.288405,-0.422922
1.393666,1.732495,-4.290715,-0.423555
1.393316,1.732784,-4.293026,-0.424187
1.392966,1.733072,-4.295337,-0.424819
1.392615,1.733359,-4.297649,-0.425450
1.392265,1.733647,-4.299961,-0.426081
1.391914,1.733935,-4.302274,-0.426711
1.391563,1.734222,-4.304588,-0.427340
1.391213,1.734510,-4.306901,-0.427969
1.390862,1.734797,-4.309216,-0.428598
1.390511,1.735084,-4.311530,-0.429225
1.390161,1.735372,-4.313846,-0.429853
1.389810,1.735659,-4.316162,-0.430479
1.389459,1.735946,-4.318478,-0.431106
1.389108,1.736232,-4.320795,-0.431731
1.388757,1.736519,-4.323112,-0.432356
1.388406,1.736806,-4.325430,-0.432981
1.388055,1.737092,-4.327748,-0.433605
1.387704,1.737379,-4.330067,-0.434228
1.387353,1.737665,-4.332386,-0.434851
1.387002,1.737951,-4.334706,-0.435473
1.386651,1.738237,-4.337027,-0.436095
1.386300,1.738523,-4.339347,-0.436716
1.385949,1.738809,-4.341669,-0.437336
1.385598,1.739095,-4.343991,-0.437956
1.385246,1.739380,-4.346313,-0.438576
1.384895,1.739666,-4.348636,-0.439195
1.384544,1.739951,-4.350959,-0.439813
1.384192,1.740237,-4.353283,-0.440431
1.383841,1.740522,-4.355607,-0.441048
1.383490,1.740807,-4.357932,-0.441665
1.383138,1.741092,-4.360257,-0.442281
1.382787,1.741377,-4.362583,-0.442897
1.382435,1.741662,-4.364909,-0.443512
1.382084,1.741947,-4.367235,-0.444127
1.381732,1.742231,-4.369563,-0.444741
1.381380,1.742516,-4.371890,-0.445354
1.381029,1.742800,-4.374218,-0.445967
1.380677,1.743084,-4.376547,-0.446579
1.380325,1.743368,-4.378876,-0.447191
1.379974,1.743652,-4.381205,-0.447803
1.379622,1.743936,-4.383535,-0.448413
1.379270,1.744220,-4.385866,-0.449024
1.378918,1.744504,-4.388197,-0.449633
1.378566,1.744787,-4.390528,-0.450243
1.378215,1.745071,-4.392860,-0.450851
1.377863,1.745354,-4.395192,-0.451459
1.377511,1.745637,-4.397525,-0.452067
1.377159,1.745921,-4.399858,-0.452674
1.376807,1.746204,-4.402192,-0.453280
1.376454,1.746487,-4.404526,-0.453886
1.376102,1.746769,-4.406861,-0.454492
1.375750,1.747052,-4.409196,-0.455097
1.375398,1.747335,-4.411531,-0.455701
1.375046,1.747617,-4.413867,-0.456305
1.374694,1.747899,-4.416204,-0.456908
1.374341,1.748182,-4.418541,-0.457511
1.373989,1.748464,-4.420878,-0.458114
1.373637,1.748746,-4.423216,-0.458715
1.373284,1.749028,-4.425554,-0.459317
1.372932,1.749310,-4.427893,-0.459917
1.372580,1.749591,-4.430232,-0.460517
1.372227,1.749873,-4.432572,-0.461117
1.371875,1.750154,-4.434912,-0.461716
1.371522,1.750436,-4.437252,-0.462315
1.371170,1.750717,-4.439593,-0.462913
1.370817,1.750998,-4.441934,-0.463511
1.370464,1.751279,-4.444276,-0.464108
1.370112,1.751560,-4.446618,-0.464704
1.369759,1.751841,-4.448961,-0.465300
1.369406,1.752121,-4.451304,-0.465896
1.369054,1.752402,-4.453648,-0.466491
1.368701,1.752682,-4.455991,-0.467086
1.368348,1.752963,-4.458336,-0.467680
1.367995,1.753243,-4.460681,-0.468273
1.367642,1.753523,-4.463026,-0.468866
1.367289,1.753803,-4.465372,-0.469459
1.366937,1.754083,-4.467718,-0.470051
1.366584,1.754363,-4.470064,-0.470642
1.366231,1.754642,-4.472411,-0.471233
1.365878,1.754922,-4.474758,-0.471823
1.365525,1.755201,-4.477106,-0.472413
1.365171,1.755481,-4.479454,-0.473003
1.364818,1.755760,-4.481803,-0.473592
1.364465,1.756039,-4.484152,-0.474180
1.364112,1.756318,-4.486502,-0.474768
1.363759,1.756597,-4.488851,-0.475356
1.363406,1.756875,-4.491202,-0.475942
1.363052,1.757154,-4.493552,-0.476529
1.362699,1.757432,-4.495903,-0.477115
1.362346,1.757711,-4.498255,-0.477700
1.361992,1.757989,-4.500607,-0.478285
1.361639,1.758267,-4.502959,-0.478870
1.361286,1.758545,-4.505312,-0.479454
1.360932,1.758823,-4.507665,-0.480037
1.360579,1.759101,-4.510018,-0.480620
1.360225,1.759378,-4.512372,-0.481203
1.359872,1.759656,-4.514727,-0.481784
1.359518,1.759933,-4.517081,-0.482366
1.359165,1.760211,-4.519436,-0.482947
1.358811,1.760488,-4.521792,-0.483528
1.358457,1.760765,-4.524148,-0.484108
1.358104,1.761042,-4.526504,-0.484687
1.357750,1.761319,-4.528861,-0.485266
1.357396,1.761595,-4.531218,-0.485845
1.357043,1.761872,-4.533575,-0.486423
1.356689,1.762148,-4.535933,-0.487000
1.356335,1.762425,-4.538291,-0.487577
1.355981,1.762701,-4.540650,-0.488154
