theta1,theta2,p1,p2
-0.492621,-2.217900,-5.725300,-3.729422
-0.492940,-2.218322,-5.725688,-3.727310
-0.493258,-2.218744,-5.726075,-3.725200
-0.493577,-2.219166,-5.726461,-3.723090
-0.493896,-2.219587,-5.726845,-3.720981
-0.494215,-2.220008,-5.727229,-3.718872
-0.494534,-2.220429,-5.727612,-3.716764
-0.494853,-2.220850,-5.727994,-3.714657
-0.495172,-2.221271,-5.728374,-3.712551
-0.495491,-2.221691,-5.728754,-3.710445
-0.495810,-2.222111,-5.729132,-3.708340
-0.496129,-2.222532,-5.729510,-3.706236
-0.496448,-2.222952,-5.729887,-3.704133
-0.496767,-2.223371,-5.730262,-3.702030
-0.497086,-2.223791,-5.730637,-3.699928
-0.497405,-2.224210,-5.731010,-3.697827
-0.497724,-2.224630,-5.731383,-3.695726
-0.498043,-2.225049,-5.731754,-3.693626
-0.498362,-2.225468,-5.732124,-3.691527
-0.498682,-2.225887,-5.732494,-3.689428
-0.499001,-2.226305,-5.732862,-3.687330
-0.499320,-2.226724,-5.733229,-3.685233
-0.499639,-2.227142,-5.733596,-3.683137
-0.499959,-2.227560,-5.733961,-3.681041
-0.500278,-2.227978,-5.734325,-3.678946
-0.500598,-2.228395,-5.734688,-3.676852
-0.500917,-2.228813,-5.735051,-3.674759
-0.501236,-2.229230,-5.735412,-3.672666
-0.501556,-2.229648,-5.735772,-3.670574
-0.501875,-2.230065,-5.736131,-3.668483
-0.502195,-2.230481,-5.736489,-3.666392
-0.502514,-2.230898,-5.736846,-3.664302
-0.502834,-2.231315,-5.737202,-3.662213
-0.503153,-2.231731,-5.737557,-3.660125
-0.503473,-2.232147,-5.737911,-3.658037
-0.503793,-2.232563,-5.738264,-3.655950
-0.504112,-2.232979,-5.738616,-3.653864
-0.504432,-2.233394,-5.738967,-3.651778
-0.504752,-2.233810,-5.739317,-3.649693
-0.505071,-2.234225,-5.739665,-3.647609
-0.505391,-2.234640,-5.740013,-3.645526
-0.505711,-2.235055,-5.740360,-3.643443
-0.506031,-2.235470,-5.740706,-3.641361
-0.506350,-2.235884,-5.741050,-3.639280
-0.506670,-2.236299,-5.741394,-3.637200
-0.506990,-2.236713,-5.741736,-3.635120
-0.507310,-2.237127,-5.742078,-3.633041
-0.507630,-2.237541,-5.742418,-3.630963
-0.507950,-2.237955,-5.742758,-3.628885
-0.508270,-2.238368,-5.743096,-3.626809
-0.508590,-2.238781,-5.743434,-3.624732
-0.508910,-2.239195,-5.743770,-3.622657
-0.509230,-2.239608,-5.744105,-3.620583
-0.509550,-2.240020,-5.744440,-3.618509
-0.509870,-2.240433,-5.744773,-3.616436
-0.510190,-2.240846,-5.745105,-3.614363
-0.510510,-2.241258,-5.745436,-3.612292
-0.510830,-2.241670,-5.745766,-3.610221
-0.511150,-2.242082,-5.746095,-3.608150
-0.511470,-2.242494,-5.746423,-3.606081
-0.511790,-2.242905,-5.746750,-3.604012
-0.512111,-2.243317,-5.747076,-3.601944
-0.512431,-2.243728,-5.747401,-3.599877
-0.512751,-2.244139,-5.747725,-3.597811
-0.513071,-2.244550,-5.748048,-3.595745
-0.513392,-2.244961,-5.748370,-3.593680
-0.513712,-2.245371,-5.748690,-3.591616
-0.514032,-2.245782,-5.749010,-3.589552
-0.514352,-2.246192,-5.749329,-3.587489
-0.514673,-2.246602,-5.749646,-3.585427
-0.514993,-2.247012,-5.749963,-3.583366
-0.515314,-2.247421,-5.750278,-3.581305
-0.515634,-2.247831,-5.750593,-3.579245
-0.515954,-2.248240,-5.750906,-3.577186
-0.516275,-2.248649,-5.751219,-3.575128
-0.516595,-2.249058,-5.751530,-3.573070
-0.516916,-2.249467,-5.751840,-3.571014
-0.517236,-2.249876,-5.752149,-3.568957
-0.517557,-2.250284,-5.752458,-3.566902
-0.517877,-2.250693,-5.752765,-3.564847
-0.518198,-2.251101,-5.753071,-3.562794
-0.518519,-2.251509,-5.753376,-3.560740
-0.518839,-2.251916,-5.753680,-3.558688
-0.519160,-2.252324,-5.753983,-3.556636
-0.519481,-2.252731,-5.754285,-3.554586
-0.519801,-2.253139,-5.754585,-3.552535
-0.520122,-2.253546,-5.754885,-3.550486
-0.520443,-2.253953,-5.755184,-3.548437
-0.520763,-2.254359,-5.755482,-3.546390
-0.521084,-2.254766,-5.755778,-3.544342
-0.521405,-2.255172,-5.756074,-3.542296
-0.521726,-2.255578,-5.756368,-3.540250
-0.522046,-2.255984,-5.756662,-3.538206
-0.522367,-2.256390,-5.756954,-3.536161
-0.522688,-2.256796,-5.757246,-3.534118
-0.523009,-2.257201,-5.757536,-3.532076
-0.523330,-2.257607,-5.757825,-3.530034
-0.523651,-2.258012,-5.758113,-3.527993
-0.523971,-2.258417,-5.758400,-3.525952
-0.524292,-2.258822,-5.758687,-3.523913
-0.524613,-2.259226,-5.758972,-3.521874
-0.524934,-2.259631,-5.759255,-3.519836
-0.525255,-2.260035,-5.759538,-3.517798
-0.525576,-2.260439,-5.759820,-3.515762
-0.525897,-2.260843,-5.760101,-3.513726
-0.526218,-2.261247,-5.760381,-3.511691
-0.526539,-2.261650,-5.760659,-3.509657
-0.526860,-2.262054,-5.760937,-3.507623
-0.527181,-2.262457,-5.761214,-3.505590
-0.527502,-2.262860,-5.761489,-3.503558
-0.527823,-2.263263,-5.761764,-3.501527
-0.528145,-2.263665,-5.762037,-3.499497
-0.528466,-2.264068,-5.762309,-3.497467
-0.528787,-2.264470,-5.762581,-3.495438
-0.529108,-2.264872,-5.762851,-3.493410
-0.529429,-2.265274,-5.763120,-3.491382
-0.529750,-2.265676,-5.763388,-3.489356
-0.530071,-2.266078,-5.763655,-3.487330
-0.530393,-2.266479,-5.763921,-3.485305
-0.530714,-2.266881,-5.764186,-3.483280
-0.531035,-2.267282,-5.764450,-3.481256
-0.531356,-2.267683,-5.764713,-3.479234
-0.531678,-2.268083,-5.764974,-3.477212
-0.531999,-2.268484,-5.765235,-3.475190
-0.532320,-2.268884,-5.765495,-3.473170
-0.532642,-2.269285,-5.765753,-3.471150
-0.532963,-2.269685,-5.766011,-3.469131
-0.533284,-2.270085,-5.766267,-3.467113
-0.533606,-2.270484,-5.766522,-3.465095
-0.533927,-2.270884,-5.766777,-3.463078
-0.534248,-2.271283,-5.767030,-3.461062
-0.534570,-2.271683,-5.767282,-3.459047
-0.534891,-2.272082,-5.767533,-3.457033
